url,Date,Column 1,Actual (1),Historical Average,Record
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-06,2019-06-06,Month to Date,0.44,0.84,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-06,2019-06-06,Year to Date,22.14,18.53,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-07,2019-06-07,Precipitation; 0,0,0.14,3.33
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-07,2019-06-07,Month to Date,0.44,0.98,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-07,2019-06-07,Year to Date,22.14,18.67,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-08,2019-06-08,Precipitation; 0,0,0.15,0.94
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-08,2019-06-08,Month to Date,0.44,1.13,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-08,2019-06-08,Year to Date,22.14,18.82,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-09,2019-06-09,Precipitation; 0,0,0.14,1.93
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-09,2019-06-09,Month to Date,0.44,1.27,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-09,2019-06-09,Year to Date,22.14,18.96,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-10,2019-06-10,Precipitation; 0.78,0.78,0.14,1.25
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-10,2019-06-10,Month to Date,1.22,1.41,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-10,2019-06-10,Year to Date,22.92,19.1,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-11,2019-06-11,Precipitation; 0.37,0.37,0.15,1.07
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-11,2019-06-11,Month to Date,1.59,1.56,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-11,2019-06-11,Year to Date,23.29,19.25,-
